feature,category,precision,recall,fbeta
workclass,State-gov,0.8076923076923077,0.7138810198300283,0.7578947368421053
workclass,Self-emp-not-inc,0.7468581687612208,0.574585635359116,0.6494925839188134
workclass,Private,0.8220230473751601,0.5174289744106387,0.6350933597131199
workclass,Federal-gov,0.8382978723404255,0.5309973045822103,0.6501650165016502
workclass,Local-gov,0.7657841140529531,0.6094003241491086,0.6787003610108303
workclass,?,0.7657657657657657,0.44502617801047123,0.5629139072847682
workclass,Self-emp-inc,0.8598848368522073,0.7202572347266881,0.7839020122484689
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,Bachelors,0.7365570599613153,0.8572714993246285,0.7923429047024552
education,HS-grad,0.9792284866468842,0.19701492537313434,0.32803180914512925
education,11th,1.0,0.26666666666666666,0.4210526315789474
education,Masters,0.8135265700483092,0.8779979144942649,0.8445336008024071
education,9th,1.0,0.1111111111111111,0.19999999999999998
education,Some-college,0.9601139601139601,0.24297043979812544,0.3878020713463751
education,Assoc-acdm,0.8981481481481481,0.3660377358490566,0.5201072386058981
education,Assoc-voc,0.970873786407767,0.2770083102493075,0.4310344827586207
education,7th-8th,0.875,0.175,0.29166666666666663
education,Doctorate,0.8584905660377359,0.8921568627450981,0.875
education,Prof-school,0.8833693304535637,0.966903073286052,0.9232505643340858
education,5th-6th,1.0,0.3125,0.47619047619047616
education,10th,1.0,0.16129032258064516,0.27777777777777773
education,1st-4th,1.0,0.16666666666666666,0.2857142857142857
education,Preschool,1.0,1.0,1.0
education,12th,1.0,0.24242424242424243,0.3902439024390244
marital-status,Never-married,0.9943820224719101,0.3604887983706721,0.5291479820627802
marital-status,Married-civ-spouse,0.7980672438091403,0.5923490735206216,0.6799897075220859
marital-status,Divorced,0.9726027397260274,0.30669546436285094,0.46633825944170776
marital-status,Married-spouse-absent,0.9090909090909091,0.29411764705882354,0.4444444444444445
marital-status,Separated,1.0,0.3787878787878788,0.5494505494505494
marital-status,Married-AF-spouse,1.0,0.1,0.18181818181818182
marital-status,Widowed,1.0,0.27058823529411763,0.42592592592592593
occupation,Adm-clerical,0.7777777777777778,0.3727810650887574,0.504
occupation,Exec-managerial,0.85065339141257,0.6946138211382114,0.7647552447552447
occupation,Handlers-cleaners,0.6470588235294118,0.2558139534883721,0.3666666666666667
occupation,Prof-specialty,0.8039849219170705,0.8031199569661108,0.8035522066738428
occupation,Other-service,0.96,0.17518248175182483,0.29629629629629634
occupation,Sales,0.7851851851851852,0.5391658189216684,0.6393244873341375
occupation,Craft-repair,0.803125,0.2766415500538213,0.4115292233787029
occupation,Transport-moving,0.7745098039215687,0.246875,0.3744075829383886
occupation,Farming-fishing,0.6805555555555556,0.4260869565217391,0.5240641711229946
occupation,Machine-op-inspct,0.7681159420289855,0.212,0.3322884012539185
occupation,Tech-support,0.8275862068965517,0.42402826855123676,0.5607476635514018
occupation,?,0.7657657657657657,0.44502617801047123,0.5629139072847682
occupation,Protective-serv,0.8089887640449438,0.3412322274881517,0.4800000000000001
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Priv-house-serv,1.0,1.0,1.0
relationship,Not-in-family,0.9833333333333333,0.3446261682242991,0.5103806228373703
relationship,Husband,0.7920858484238766,0.5986819871578236,0.681936291021076
relationship,Wife,0.8497942386831275,0.5543624161073826,0.6709991876523151
relationship,Own-child,1.0,0.29850746268656714,0.45977011494252873
relationship,Unmarried,0.9841269841269841,0.28440366972477066,0.4412811387900356
relationship,Other-relative,1.0,0.24324324324324326,0.391304347826087
race,White,0.8138144329896907,0.554587607137839,0.6596473635831871
race,Black,0.8264840182648402,0.46770025839793283,0.5973597359735974
race,Asian-Pac-Islander,0.7520661157024794,0.6594202898550725,0.7027027027027027
race,Amer-Indian-Eskimo,0.9047619047619048,0.5277777777777778,0.6666666666666666
race,Other,0.6842105263157895,0.52,0.5909090909090909
sex,Male,0.8022419627749577,0.5693485439807866,0.6660228270412643
sex,Female,0.8812199036918138,0.46564885496183206,0.609322974472808
native-country,United-States,0.8172916666666666,0.5470645656114907,0.6554172583744048
native-country,Cuba,0.8666666666666667,0.52,0.65
native-country,Jamaica,0.5,0.2,0.28571428571428575
native-country,India,0.6730769230769231,0.875,0.7608695652173914
native-country,?,0.7407407407407407,0.684931506849315,0.7117437722419929
native-country,Mexico,0.8125,0.3939393939393939,0.5306122448979591
native-country,South,0.5555555555555556,0.625,0.5882352941176471
native-country,Puerto-Rico,0.75,0.5,0.6
native-country,Honduras,1.0,1.0,1.0
native-country,England,0.7307692307692307,0.6333333333333333,0.6785714285714285
native-country,Canada,0.76,0.48717948717948717,0.59375
native-country,Germany,0.8214285714285714,0.5227272727272727,0.6388888888888888
native-country,Iran,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country,Philippines,0.8478260869565217,0.639344262295082,0.7289719626168225
